Customer Id,Age,Age_label,Edu,Years Employed,Years Employed_label,Income,Income_label,Address,Card Debt,Other Debt,Total Debt,Defaulted,DebtRatio,DebtIncomeRatio (%),Score Age,Score Income,Score DebtRatio,Score Years Employed,risk_score,risk_class
1,41,35-45,2,6,5–9,19,Mass,NBA001,0.124,1.073,1.197,0.0,0.063,6.3,2,1,2,3,0.13109155360288885,Very low
2,47,45-55,1,26,20+,100,Affluent,NBA021,4.582,8.218,12.8,0.0,0.128,12.8,1,3,3,1,0.014735674327102813,Very low
3,33,25-35,2,10,10–19,57,Lower Affluent,NBA013,6.111,5.802,11.913,1.0,0.209,20.9,3,2,5,2,0.59978783623289,Medium
4,29,25-35,2,4,2–4,19,Mass,NBA009,0.681,0.516,1.197,0.0,0.063,6.3,3,1,2,4,0.19685464698249477,Very low
5,47,45-55,1,31,20+,253,Upper Affluent,NBA008,9.308,8.908,18.216,0.0,0.07200000000000001,7.2,1,4,2,1,0.0024419092705532768,Very low
7,38,35-45,2,4,2–4,56,Lower Affluent,NBA013,0.442,0.454,0.896,0.0,0.016,1.6,2,2,1,4,0.10971571007474958,Very low
8,42,35-45,3,0,<2,64,Lower Affluent,NBA009,0.279,3.945,4.224,0.0,0.066,6.6,2,2,2,5,0.5256623853306823,Medium
10,47,45-55,3,23,20+,115,Affluent,NBA011,0.653,3.947,4.6,0.0,0.04,4.0,1,3,1,1,0.0012492520123076434,Very low
11,44,35-45,3,8,5–9,88,Lower Affluent,NBA010,0.285,5.083,5.368,1.0,0.061,6.1,2,2,2,3,0.12089190909339224,Very low
13,24,18-25,1,7,5–9,18,Mass,NBA000,0.526,0.643,1.169,0.0,0.065,6.5,4,1,2,3,0.09821276368466554,Very low
15,28,25-35,3,2,2–4,20,Mass,NBA000,0.233,1.647,1.8800000000000001,1.0,0.094,9.4,3,1,2,4,0.348297676537458,Low
17,29,25-35,1,1,<2,17,Mass,NBA004,0.132,0.293,0.425,0.0,0.025,2.5,3,1,1,5,0.2932662449551337,Low
18,43,35-45,4,1,<2,26,Mass,NBA005,1.519,1.237,2.7560000000000002,0.0,0.106,10.6,2,1,3,5,0.4824560926917753,Medium
21,29,25-35,2,6,5–9,25,Mass,NBA009,0.585,0.465,1.05,0.0,0.042,4.2,3,1,1,3,0.10918758031885688,Very low
22,36,35-45,3,10,10–19,43,Mass,NBA004,0.961,4.629,5.59,0.0,0.13,13.0,2,1,3,2,0.15261742476759738,Very low
23,28,25-35,3,6,5–9,47,Mass,NBA008,5.574,3.732,9.306000000000001,1.0,0.198,19.8,3,1,4,3,0.6571140344046893,High
24,45,45-55,1,19,10–19,77,Lower Affluent,NBA022,2.303,4.165,6.468,0.0,0.084,8.4,1,2,2,2,0.013141849505837896,Very low
25,37,35-45,4,10,10–19,123,Affluent,NBA018,3.022,18.257,21.279,0.0,0.17300000000000001,17.3,2,3,4,2,0.9410964870143375,Very high
27,24,18-25,1,4,2–4,21,Mass,NBA002,0.099,0.447,0.546,0.0,0.026000000000000002,2.6,4,1,1,4,0.15236884152489513,Very low
29,38,35-45,2,13,10–19,59,Lower Affluent,NBA000,0.408,1.008,1.416,0.0,0.024,2.4,2,2,1,2,0.012843913300855875,Very low
30,34,25-35,2,9,5–9,45,Mass,NBA013,1.118,3.427,4.545,0.0,0.10099999999999999,10.1,3,1,3,3,0.13175369016301805,Very low
31,40,35-45,3,18,10–19,100,Affluent,NBA006,1.485,1.015,2.5,0.0,0.025,2.5,2,3,1,2,0.0026834600086404065,Very low
32,42,35-45,2,12,10–19,55,Lower Affluent,NBA009,2.533,5.717,8.25,0.0,0.15,15.0,2,2,4,2,0.19293071725835478,Very low
33,23,18-25,2,0,<2,42,Mass,NBA001,1.019,0.619,1.638,1.0,0.039,3.9,4,1,1,5,0.3584196590701513,Low
35,28,25-35,1,12,10–19,45,Mass,NBA007,1.854,1.611,3.465,0.0,0.077,7.7,3,1,2,2,0.04248319137839946,Very low
37,35,35-45,3,5,5–9,37,Mass,NBA003,0.581,1.417,1.998,1.0,0.054000000000000006,5.4,2,1,2,3,0.16155306670739814,Very low
38,37,35-45,1,0,<2,18,Mass,NBA018,1.584,0.738,2.322,1.0,0.129,12.9,2,1,3,5,0.538436560833977,Medium
39,22,18-25,1,1,<2,18,Mass,NBA000,0.27,0.522,0.792,0.0,0.044000000000000004,4.4,4,1,1,5,0.3147576264052194,Low
41,20,18-25,1,4,2–4,14,Mass,NBA000,0.201,1.157,1.358,1.0,0.09699999999999999,9.7,4,1,2,4,0.2169065903684058,Low
42,48,45-55,3,17,10–19,113,Affluent,NBA026,3.376,10.184,13.559999999999999,0.0,0.12,12.0,1,3,3,2,0.14971698200326194,Very low
43,28,25-35,2,5,5–9,34,Mass,NBA009,3.099,4.993,8.092,0.0,0.23800000000000002,23.8,3,1,5,3,0.668771199092112,High
44,37,35-45,5,9,5–9,177,Affluent,NBA016,0.888,9.555,10.443,0.0,0.059000000000000004,5.9,2,3,2,3,0.13745156766810934,Very low
45,48,45-55,1,3,2–4,27,Mass,NBA011,1.403,4.348,5.7509999999999994,0.0,0.213,21.3,1,1,5,4,0.6354316071074626,High
47,22,18-25,1,4,2–4,14,Mass,NBA003,0.225,2.225,2.45,0.0,0.175,17.5,4,1,4,4,0.303094882923235,Low
49,28,25-35,1,3,2–4,19,Mass,NBA007,0.261,0.518,0.779,0.0,0.040999999999999995,4.1,3,1,1,4,0.21264795335270933,Low
51,47,45-55,1,22,20+,81,Lower Affluent,NBA019,1.506,2.949,4.455,0.0,0.055,5.5,1,2,2,1,0.002668174071300817,Very low
52,36,35-45,1,11,10–19,33,Mass,NBA002,1.266,9.459,10.725,0.0,0.325,32.5,2,1,5,2,0.5408464248722211,Medium
53,24,18-25,1,3,2–4,19,Mass,NBA004,1.358,3.278,4.636,1.0,0.244,24.4,4,1,5,4,0.549694322814491,Medium
55,29,25-35,3,5,5–9,70,Lower Affluent,NBA006,3.176,10.754,13.93,1.0,0.19899999999999998,19.9,3,2,4,3,0.904108825545153,Very high
56,34,25-35,1,2,2–4,25,Mass,NBA011,0.573,2.577,3.15,1.0,0.126,12.6,3,1,3,4,0.4500526443869936,Medium
